E,f1,f2,μρpe,μρci,μρtot,μρK,λ
1.593329,8.35705,0.74865,1235.8,1.4479,1237.2,1177,0.7781
1.703269,8.34592,0.6659,1028.3,1.4083,1029.7,979.6,0.7279
1.820795,8.33198,0.59217,855.38,1.3667,856.75,815,0.6809
1.94643,8.31689,0.52651,711.45,1.3235,712.77,677.9,0.637
2.080733,8.30145,0.46808,591.67,1.279,592.95,563.7,0.5959
2.224304,8.28581,0.41395,489.48,1.2334,490.71,466.2,0.5574
2.377781,8.26885,0.36513,403.88,1.1872,405.07,384.5,0.5214
2.541848,8.25152,0.32207,333.25,1.1406,334.39,317.2,0.4878
2.717235,8.23442,0.28409,274.98,1.0938,276.07,261.6,0.4563
2.904724,8.21791,0.25059,226.9,1.0472,227.95,215.7,0.4268
3.10515,8.20256,0.21994,186.3,1.0011,187.3,177.1,0.3993
3.319406,8.18728,0.19213,152.24,0.95552,153.2,144.7,0.3735
3.548445,8.17222,0.16784,124.4,0.91083,125.31,118.2,0.3494
3.793288,8.15779,0.14662,101.66,0.86716,102.53,96.62,0.3269
4.055024,8.14414,0.12808,83.077,0.82468,83.902,78.96,0.3058
4.334821,8.13136,0.11189,67.89,0.78354,68.674,64.52,0.286
4.633924,8.11947,0.097749,55.48,0.74386,56.224,52.72,0.2676
4.953664,8.10847,0.085394,45.339,0.70572,46.045,43.08,0.2503
5.295467,8.09834,0.074601,37.052,0.66922,37.721,35.2,0.2341
5.660855,8.08903,0.065172,30.28,0.6344,30.914,28.77,0.219
6.051453,8.08051,0.056936,24.746,0.6013,25.347,23.51,0.2049
6.469004,8.07273,0.04974,20.223,0.56995,20.793,19.21,0.1917
6.915365,8.06564,0.043455,16.527,0.54035,17.067,15.7,0.1793
7.392525,8.0592,0.037964,13.507,0.51248,14.019,12.83,0.1677
7.902609,8.05336,0.033166,11.038,0.48633,11.524,10.48,0.1569
8.44789,8.04808,0.028976,9.0211,0.46186,9.483,8.564,0.1468
9.030794,8.04333,0.025277,7.3617,0.43901,7.8007,6.988,0.1373
9.653919,8.03905,0.021935,5.976,0.41774,6.3937,5.672,0.1284
10.32004,8.03513,0.018995,4.8409,0.39798,5.2389,4.594,0.1201
11.03212,8.03154,0.016411,3.9125,0.37966,4.2922,3.712,0.1124
11.79334,8.02827,0.014177,3.1618,0.36271,3.5245,2.999,0.1051
12.60708,8.0253,0.012248,2.5551,0.34705,2.9021,2.424,0.09834
13.47697,8.02262,0.010581,2.0649,0.3326,2.3975,1.958,0.092
14.40688,8.02021,0.0091406,1.6687,0.31928,1.988,1.582,0.08606
15.40095,8.01804,0.0078965,1.3485,0.30702,1.6555,1.279,0.0805
16.46362,8.01609,0.0068218,1.0898,0.29572,1.3855,1.033,0.07531
17.59961,8.01434,0.0058934,0.88072,0.28532,1.166,0.8348,0.07045
18.81398,8.01277,0.0050913,0.71175,0.27573,0.98748,0.6746,0.0659
20.11215,8.01137,0.0043984,0.57519,0.26688,0.84207,0.5451,0.06165
21.49988,8.01012,0.0037998,0.46484,0.25871,0.72355,0.4404,0.05767
22.98338,8.009,0.0032827,0.37566,0.25114,0.6268,0.3559,0.05395
24.56923,8.00801,0.002836,0.30359,0.24411,0.5477,0.2876,0.05046
26.2645,8.00713,0.00245,0.24535,0.23756,0.48291,0.2324,0.04721
28.07676,8.00633,0.0021079,0.19746,0.23144,0.4289,0.187,0.04416
30.01405,8.00562,0.001811,0.1587,0.2257,0.3844,0.1502,0.04131
32.08502,8.00498,0.001556,0.12755,0.22028,0.34783,0.1207,0.03864
34.29889,8.00442,0.0013368,0.10251,0.21516,0.31767,0.09701,0.03615
36.66551,8.00392,0.0011486,0.08239,0.21028,0.29267,0.07795,0.03381
39.19543,8.00347,98682e-8,0.066219,0.20563,0.27185,0.06264,0.03163
41.89992,8.00307,84786e-8,0.053221,0.20115,0.25437,0.05033,0.02959
44.79101,8.00272,72846e-8,0.042775,0.19684,0.23962,0.04044,0.02768
47.88159,8.0024,62588e-8,0.034379,0.19266,0.22704,0.0325,0.02589
51.18542,8.00213,53774e-8,0.027631,0.18859,0.21622,0.02611,0.02422
54.71721,8.00188,46201e-8,0.022208,0.18462,0.20683,0.02098,0.02266
58.4927,8.00166,39695e-8,0.017849,0.18074,0.19859,0.01686,0.0212
62.5287,8.00147,34106e-8,0.014346,0.17693,0.19128,0.01355,0.01983
66.84318,8.0013,29303e-8,0.01153,0.17318,0.18471,0.01089,0.01855
71.45536,8.00114,25177e-8,0.009267,0.16948,0.17875,0.008749,0.01735
76.38578,8.00101,21632e-8,0.0074482,0.16583,0.17328,0.00703,0.01623
81.6564,8.00089,1858e-7,0.0059845,0.16223,0.16821,0.005647,0.01518
87.29069,8.00079,15948e-8,0.0048053,0.15867,0.16348,0.004533,0.0142
93.31374,8.00069,13689e-8,0.0038584,0.15514,0.159,0.003639,0.01329
99.75239,8.00061,1175e-7,0.0030981,0.15166,0.15476,0.002921,0.01243
106.6353,8.00054,10086e-8,0.0024876,0.14821,0.1507,0.002345,0.01163
113.9931,8.00048,86571e-9,0.0019974,0.14481,0.14681,0.001882,0.01088
121.8587,8.00042,74309e-9,0.0016038,0.14144,0.14304,0.001511,0.01017
130.2669,8.00037,63783e-9,0.0012878,0.13812,0.13941,0.001213,0.009518
139.2553,8.00033,54749e-9,0.001034,0.13485,0.13588,9735e-7,0.008903
148.864,8.00029,46994e-9,83029e-8,0.13162,0.13245,7814e-7,0.008329
159.1356,8.00025,40338e-9,66669e-8,0.12845,0.12912,6273e-7,0.007791
170.1159,8.00022,34625e-9,53533e-8,0.12532,0.12586,5035e-7,0.007288
181.8539,8.0002,29721e-9,42985e-8,0.12226,0.12269,4042e-7,0.006818
194.4018,8.00017,25511e-9,34515e-8,0.11925,0.1196,3244e-7,0.006378
207.8156,8.00015,21898e-9,27714e-8,0.11631,0.11659,2604e-7,0.005966
222.1548,8.00013,18797e-9,22254e-8,0.11343,0.11365,2091e-7,0.005581
237.4835,8.00012,16135e-9,17869e-8,0.11062,0.1108,1678e-7,0.005221
253.8699,8.0001,13849e-9,14348e-8,0.10787,0.10801,1347e-7,0.004884
271.3869,8.00009,11888e-9,11521e-8,0.1052,0.10532,1081e-7,0.004569
290.1126,8.00008,10204e-9,92511e-9,0.1026,0.10269,868e-7,0.004274
310.1304,8.00007,87592e-10,74284e-9,0.10007,0.10014,6967e-8,0.003998
331.5294,8.00006,75187e-10,59648e-9,0.097623,0.097683,5593e-8,0.00374
354.4049,8.00005,64539e-10,47896e-9,0.095249,0.095297,449e-7,0.003498
378.8588,8.00005,55399e-10,38459e-9,0.092954,0.092992,3604e-8,0.003273
405.0001,8.00004,47554e-10,30882e-9,0.090737,0.090768,2893e-8,0.003061
432.9451,8.00004,40819e-10,24798e-9,0.0886,0.088625,2322e-8,0.002864
