E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.1648404,22.8517,13.291,105830,0.53323,105830,0,7.521
0.165624,10.7387,13.261,105090,0.53742,105090,0,7.486
0.168096,5.05078,13.165,102800,0.55065,102800,0,7.376
0.1762144,0.268651,12.863,95814,0.59416,95815,0,7.036
0.1883732,3.57484,12.429,86606,0.65935,86607,0,6.582
0.2013709,5.64507,11.923,77717,0.72872,77718,0,6.157
0.2152655,7.05788,11.353,69225,0.80215,69226,0,5.76
0.224616,7.51754,10.965,64072,0.85098,64073,0,5.52
0.228054,7.2736,10.822,62285,0.86879,62286,0,5.437
0.2289708,6.72984,10.784,61818,0.87353,61819,0,5.415
0.2301188,7.35124,11.942,68112,0.87945,68113,0,5.388
0.230346,7.4535,11.933,67994,0.88062,67995,0,5.383
0.233784,8.24499,11.797,66233,0.8983,66234,0,5.303
0.245997,9.56827,11.322,60411,0.96039,60412,0,5.04
0.2629708,10.7717,10.685,53330,1.0447,53331,0,4.715
0.2811158,11.7286,10.032,46840,1.1319,46841,0,4.41
0.3005128,12.515,9.3747,40946,1.2217,40947,0,4.126
0.3212482,13.1657,8.7232,35641,1.3136,35642,0,3.859
0.3434143,13.7032,8.0847,30900,1.4071,30901,0,3.61
0.3671099,14.1439,7.466,26694,1.5016,26696,0,3.377
0.3924405,14.5017,6.8727,22986,1.5965,22988,0,3.159
0.4195189,14.7886,6.3084,19737,1.6912,19739,0,2.955
0.4484657,15.0149,5.7755,16904,1.785,16906,0,2.765
0.4794098,15.1896,5.2754,14443,1.8771,14445,0,2.586
0.5124891,15.3221,4.8084,12315,1.967,12317,0,2.419
0.5478508,15.4165,4.3745,10480,2.054,10482,0,2.263
0.5856525,15.4802,3.9729,8904.1,2.1372,8906.2,0,2.117
0.6260625,15.5185,3.6027,7553.1,2.2162,7555.3,0,1.98
0.6692609,15.5359,3.2623,6398,2.2902,6400.3,0,1.853
0.7154399,15.5359,2.9496,5411.3,2.3587,5413.7,0,1.733
0.7648052,15.5214,2.6633,4570.7,2.4211,4573.1,0,1.621
0.8175768,15.4951,2.4023,3856.7,2.4769,3859.2,0,1.516
0.8739896,15.46,2.1653,3251.8,2.5257,3254.3,0,1.419
0.9342948,15.4191,1.9505,2740.2,2.5672,2742.8,0,1.327
0.9987612,15.377,1.7565,2308.3,2.601,2310.9,0,1.241
1.067676,15.3185,1.5563,1913.2,2.6269,1915.8,0,1.161
1.141345,15.2465,1.3799,1586.9,2.6448,1589.5,0,1.086
1.220098,15.1657,1.2248,1317.6,2.6546,1320.3,0,1.016
1.304285,15.0779,1.0883,1095.2,2.6564,1097.9,0,0.9506
1.394281,14.9834,0.96802,911.27,2.6502,913.92,0,0.8892
1.490486,14.8807,0.86197,759.06,2.6362,761.7,0,0.8318
1.593329,14.7671,0.76836,632.96,2.6146,635.57,0,0.7781
1.703269,14.6378,0.68566,528.38,2.5858,530.97,0,0.7279
1.820795,14.4842,0.61253,441.55,2.5501,444.1,0,0.6809
1.94643,14.2907,0.54778,369.39,2.5079,371.9,0,0.637
2.080733,14.0245,0.49041,309.35,2.4596,311.81,0,0.5959
2.224304,13.5997,0.43951,259.35,2.4058,261.76,0,0.5574
2.377781,12.6322,0.39431,217.66,2.3469,220.01,0,0.5214
2.42256,11.9404,0.38259,207.29,2.3296,209.62,0,0.5118
2.45964,10.3757,0.37333,199.22,2.3153,201.54,0,0.5041
2.469528,8.49659,0.37093,197.15,2.3115,199.46,0,0.5021
2.48436,10.3922,4.07,2150.3,2.3058,2152.6,1956,0.4991
2.52144,12.1135,3.9926,2078.4,2.2915,2080.7,1892,0.4917
2.541848,12.5569,3.9512,2040.3,2.2836,2042.6,1857,0.4878
2.717235,14.2376,3.5845,1731.5,2.2163,1733.7,1578,0.4563
2.904724,14.9741,3.2216,1455.7,2.1458,1457.8,1326,0.4268
3.10515,15.4198,2.8955,1223.9,2.0724,1226,1116,0.3993
3.319406,15.7231,2.5973,1027,1.9968,1029,937.8,0.3735
3.548445,15.9311,2.3237,859.53,1.9196,861.45,785.8,0.3494
3.793288,16.0769,2.0792,719.43,1.8412,721.27,658.4,0.3269
4.055024,16.1802,1.8606,602.24,1.7623,604,551.7,0.3058
4.334821,16.2533,1.665,504.15,1.6832,505.83,462.3,0.286
4.633924,16.3047,1.4893,421.83,1.6044,423.43,387.3,0.2676
4.953664,16.385,1.3318,352.89,1.5264,354.42,324.4,0.2503
5.295467,16.4057,1.1801,292.5,1.4494,293.95,269,0.2341
5.660855,16.4117,1.0457,242.47,1.374,243.84,223.1,0.219
6.051453,16.4086,0.9267,201,1.3003,202.3,185,0.2049
6.469004,16.3993,0.82127,166.63,1.2287,167.86,153.4,0.1917
6.915365,16.3859,0.72786,138.15,1.1594,139.31,127.2,0.1793
7.392525,16.3698,0.64511,114.54,1.0926,115.63,105.5,0.1677
7.902609,16.3522,0.5718,94.97,1.0283,95.998,87.49,0.1569
8.44789,16.3342,0.50681,78.743,0.96685,79.71,72.55,0.1468
9.030794,16.318,0.44855,65.193,0.90821,66.101,60.08,0.1373
9.653919,16.2986,0.39488,53.687,0.85247,54.539,49.51,0.1284
10.32004,16.2792,0.34764,44.214,0.79965,45.014,40.8,0.1201
11.03212,16.2603,0.30521,36.312,0.74976,37.062,33.53,0.1124
11.79334,16.2413,0.26702,29.718,0.70278,30.421,27.44,0.1051
12.60708,16.2226,0.23361,24.322,0.65866,24.981,22.46,0.09834
13.47697,16.2045,0.20439,19.906,0.61735,20.523,18.38,0.092
14.40688,16.1874,0.17883,16.293,0.57876,16.872,15.04,0.08606
15.40095,16.1713,0.15647,13.335,0.54282,13.878,12.31,0.0805
16.46362,16.1562,0.13691,10.915,0.50942,11.424,10.08,0.07531
17.59961,16.1422,0.1198,8.9346,0.47844,9.413,8.249,0.07045
18.81398,16.1293,0.10483,7.3136,0.44978,7.7634,6.751,0.0659
20.11215,16.1174,0.091735,5.9867,0.42332,6.41,5.526,0.06165
21.49988,16.1064,0.080275,4.9007,0.39892,5.2996,4.522,0.05767
22.98338,16.0964,0.070249,4.0118,0.37647,4.3883,3.702,0.05395
24.56923,16.0873,0.061476,3.2842,0.35584,3.64,3.03,0.05046
26.2645,16.079,0.0538,2.6886,0.3369,3.0255,2.48,0.04721
28.07676,16.0715,0.046793,2.1875,0.31954,2.507,2.017,0.04416
30.01405,16.0645,0.040617,1.7762,0.30363,2.0798,1.638,0.04131
32.08502,16.0581,0.035256,1.4423,0.28906,1.7314,1.33,0.03864
34.29889,16.0523,0.030603,1.1711,0.27572,1.4468,1.08,0.03615
36.66551,16.047,0.026565,0.95097,0.2635,1.2145,0.8772,0.03381
39.19543,16.0421,0.02306,0.77221,0.25231,1.0245,0.7123,0.03163
41.89992,16.0378,0.020017,0.62706,0.24205,0.86911,0.5784,0.02959
44.79101,16.0338,0.017377,0.5092,0.23263,0.74183,0.4697,0.02768
47.88159,16.0303,0.015084,0.4135,0.22397,0.63747,0.3814,0.02589
51.18542,16.0271,0.013095,0.33578,0.21599,0.55177,0.3097,0.02422
54.71721,16.0242,0.011346,0.27218,0.20863,0.48081,0.251,0.02266
58.4927,16.0216,0.0098178,0.22031,0.2018,0.42211,0.2031,0.0212
62.5287,16.0193,0.0084952,0.17832,0.19547,0.37379,0.1644,0.01983
66.84318,16.0172,0.0073509,0.14434,0.18956,0.3339,0.133,0.01855
71.45536,16.0153,0.0063607,0.11684,0.18404,0.30088,0.1076,0.01735
76.38578,16.0137,0.005504,0.094576,0.17885,0.27343,0.08707,0.01623
81.6564,16.0122,0.0047619,0.076544,0.17396,0.2505,0.07046,0.01518
87.29069,16.0108,0.0041184,0.061926,0.16934,0.23127,0.05701,0.0142
93.31374,16.0096,0.0035618,0.0501,0.16494,0.21504,0.04613,0.01329
99.75239,16.0086,0.0030804,0.040533,0.16074,0.20127,0.03733,0.01243
106.6353,16.0076,0.0026642,0.032792,0.15672,0.18951,0.03021,0.01163
113.9931,16.0067,0.0023041,0.02653,0.15285,0.17938,0.02444,0.01088
121.8587,16.006,0.0019928,0.021464,0.14912,0.17058,0.01978,0.01017
130.2669,16.0053,0.0017235,0.017366,0.1455,0.16287,0.016,0.009518
139.2553,16.0047,0.0014906,0.01405,0.14199,0.15604,0.01295,0.008903
148.864,16.0042,0.0012892,0.011367,0.13858,0.14995,0.01048,0.008329
159.1356,16.0037,0.001115,0.0091967,0.13524,0.14444,0.008478,0.007791
170.1159,16.0033,96437e-8,0.0074407,0.13199,0.13943,0.00686,0.007288
181.8539,16.0029,83407e-8,0.00602,0.12879,0.13481,0.005551,0.006818
194.4018,16.0026,72139e-8,0.0048706,0.12567,0.13054,0.004492,0.006378
207.8156,16.0023,62393e-8,0.0039407,0.12259,0.12653,0.003635,0.005966
222.1548,16.002,53963e-8,0.0031883,0.11958,0.12277,0.002941,0.005581
237.4835,16.0018,46673e-8,0.0025796,0.11661,0.11919,0.00238,0.005221
253.8699,16.0016,40368e-8,0.0020871,0.1137,0.11579,0.001926,0.004884
271.3869,16.0014,34915e-8,0.0016886,0.11083,0.11252,0.001558,0.004569
290.1126,16.0012,30198e-8,0.0013662,0.10801,0.10938,0.001261,0.004274
310.1304,16.0011,26119e-8,0.0011054,0.10524,0.10635,0.00102,0.003998
331.5294,16.001,22591e-8,89438e-8,0.10251,0.1034,8255e-7,0.00374
354.4049,16.0009,19539e-8,72364e-8,0.099833,0.10056,668e-6,0.003498
378.8588,16.0008,169e-6,58549e-8,0.097201,0.097786,5405e-7,0.003273
405.0001,16.0007,14617e-8,47372e-8,0.094618,0.095092,4374e-7,0.003061
432.9451,16.0006,12643e-8,38329e-8,0.092084,0.092467,3539e-7,0.002864
